KÓD,MÌSTO,VOLIÈI V SEZNAMU,VYDANÉ OBALKY,PLATNÉ HLASY,Obèanská demokratická strana v %,Øád národa - Vlastenecká unie v %,CESTA ODPOVÌDNÉ SPOLEÈNOSTI v %,Èeská str.sociálnì demokratická v %,Cibulka v %,Radostné Èesko v %,STAROSTOVÉ A NEZÁVISLÍ v %,Komunistická str.Èech a Moravy v %,Strana zelenıch v %,"ROZUMNÍ-stop migraci,diktát.EU v %",Spoleè.proti vıst.v Prok.údolí v %,Strana svobodnıch obèanù v %,Blok proti islam.-Obran.domova v %,Obèanská demokratická aliance v %,Èeská pirátská strana v %,OBÈANÉ 2011-SPRAVEDL. PRO LIDI v %,Unie H.A.V.E.L. v %,Èeská národní fronta v %,Referendum o Evropské unii v %,TOP 09 v %,ANO 2011 v %,Dobrá volba 2016 v %,SPR-Republ.str.Èsl. M.Sládka v %,Køes.demokr.unie-Ès.str.lid. v %,Èeská strana národnì sociální v %,REALISTÉ v %,SPORTOVCI v %,Dìlnic.str.sociální spravedl. v %,Svob.a pø.dem.-T.Okamura (SPD) v %,Strana Práv Obèanù v %,Narod_sobì v %
585661,Provodov,647,463,461,"7,59","0,00","0,00","4,12",nekandiduje,"0,00","6,29","4,33","0,86","0,43",nekandiduje,"2,16","0,00","0,00","6,72",nekandiduje,nekandiduje,nekandiduje,"0,00","2,60","29,50","0,00","0,00","24,29",nekandiduje,"0,43","0,00","0,21","9,76","0,65",nekandiduje
585670,Racková,628,443,437,"9,61","0,68","0,00","5,49",nekandiduje,"0,00","5,72","6,40","0,91","0,22",nekandiduje,"1,83","0,68","0,00","9,15",nekandiduje,nekandiduje,nekandiduje,"0,45","4,11","27,68","0,00","0,00","11,44",nekandiduje,"1,60","0,45","0,22","12,35","0,91",nekandiduje
556980,Rokytnice,488,290,290,"4,82","0,00","0,00","8,96",nekandiduje,"0,00","6,89","7,24","1,72","0,68",nekandiduje,"1,37","0,00","0,00","5,86",nekandiduje,nekandiduje,nekandiduje,"0,00","0,68","27,24","0,00","0,00","14,48",nekandiduje,"9,31","0,00","0,00","10,34","0,34",nekandiduje
586919,Rudimov,205,148,148,"11,48","0,00","0,00","4,05",nekandiduje,"0,00","9,45","5,40","0,00","0,67",nekandiduje,"0,67","0,00","0,00","13,51",nekandiduje,nekandiduje,nekandiduje,"1,35","0,67","20,94","0,00","0,00","12,16",nekandiduje,"4,05","0,00","0,00","15,54","0,00",nekandiduje
585726,Sazovice,590,410,407,"7,37","0,24","0,00","6,87",nekandiduje,"0,00","4,17","2,70","0,98","0,49",nekandiduje,"0,24","0,00","0,24","5,89",nekandiduje,nekandiduje,nekandiduje,"0,24","2,21","36,36","0,00","0,49","16,95",nekandiduje,"0,73","0,24","0,00","11,05","2,45",nekandiduje
585734,Sehradice,575,392,390,"5,12","0,51","0,00","8,46",nekandiduje,"0,00","5,38","3,84","0,00","0,25",nekandiduje,"0,76","0,25","0,00","7,17",nekandiduje,nekandiduje,nekandiduje,"0,25","0,76","23,58","0,51","0,00","24,10",nekandiduje,"0,76","0,00","0,00","15,38","2,82",nekandiduje
585751,Slavièín,5 396,3 253,3 228,"8,27","0,34","0,06","9,35",nekandiduje,"0,06","4,92","8,08","1,23","0,52",nekandiduje,"1,54","0,09","0,03","8,11",nekandiduje,nekandiduje,nekandiduje,"0,09","2,10","32,06","0,09","0,18","11,02",nekandiduje,"1,33","0,09","0,09","9,82","0,43",nekandiduje
585769,Slopné,455,341,341,"7,33","0,00","0,00","6,15",nekandiduje,"0,58","8,21","4,69","1,17","1,17",nekandiduje,"0,58","0,00","0,00","8,21",nekandiduje,nekandiduje,nekandiduje,"0,00","2,34","18,18","0,00","0,00","31,37",nekandiduje,"0,29","0,00","0,29","8,79","0,58",nekandiduje
585777,Slušovice,2 348,1 474,1 454,"11,76","0,34","0,20","5,50",nekandiduje,"0,06","6,12","4,95","1,51","0,61",nekandiduje,"2,47","0,27","0,41","9,76",nekandiduje,nekandiduje,nekandiduje,"0,00","3,16","27,51","0,13","0,13","12,44",nekandiduje,"0,41","0,13","0,13","10,66","1,23",nekandiduje
585793,Spytihnìv,1 382,924,912,"6,25","0,43","0,00","4,49",nekandiduje,"0,00","4,49","6,57","1,31","0,32",nekandiduje,"2,08","0,00","0,00","6,90",nekandiduje,nekandiduje,nekandiduje,"0,21","2,41","33,55","0,21","0,10","11,29",nekandiduje,"0,65","0,10","0,00","17,21","1,31",nekandiduje
585807,Šanov,393,227,225,"6,66","0,00","0,00","7,11",nekandiduje,"0,00","4,44","11,11","0,44","0,00",nekandiduje,"1,33","0,00","0,00","4,44",nekandiduje,nekandiduje,nekandiduje,"0,00","1,77","38,22","0,00","0,44","14,22",nekandiduje,"0,00","0,88","0,44","8,00","0,44",nekandiduje
585815,Šarovy,214,142,141,"12,05","0,70","0,00","7,09",nekandiduje,"0,00","4,96","4,96","2,12","0,70",nekandiduje,"2,12","0,00","0,00","12,76",nekandiduje,nekandiduje,nekandiduje,"0,00","1,41","29,78","0,00","0,00","4,96",nekandiduje,"0,70","0,00","0,00","15,60","0,00",nekandiduje
585831,Štítná nad Vláøí-Popov,1 763,1 105,1 102,"7,16","0,00","0,00","9,16",nekandiduje,"0,00","4,99","4,90","0,90","0,36",nekandiduje,"0,99","0,09","0,45","6,35",nekandiduje,nekandiduje,nekandiduje,"0,00","1,45","29,67","0,00","0,00","23,32",nekandiduje,"0,99","0,00","0,18","8,89","0,09",nekandiduje
